word,level,pos,definition_url,voice_url
affordable,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/affordable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affor/affordable__us_1.ogg
afraid,a1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/afraid,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/afr/afrai/afraid__us_2.ogg
after,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/after_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
after,a2,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/after_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
after,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/after_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
aftermath,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aftermath,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/aftermath__us_1.ogg
afternoon,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/afternoon,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/afternoon__us_2.ogg
afterwards,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/afterwards__us_2.ogg
again,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/again,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aga/again/again__us_1.ogg
against,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/against,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aga/again/against__us_1.ogg
age,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/age_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/age__/age__us_1.ogg
age,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/age_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/age__/age__us_1.ogg
aged,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aged,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/aged_/aged__us_1.ogg
agency,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agency,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agenc/agency__us_2.ogg
agenda,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agenda,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agend/agenda__us_2.ogg
agent,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agent,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agent/agent__us_2.ogg
aggression,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aggression,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agg/aggre/aggression__us_1.ogg
aggressive,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agg/aggre/aggressive__us_1.ogg
ago,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/ago,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ago/ago__/ago__us_1.ogg
agree,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/agree,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agree/agree__us_1.ogg
agreement,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agree/agreement__us_1.ogg
agricultural,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/agricultural,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agric/agricultural__us_1.ogg
